# card-build 2026-08-09  (2026-08-11T13:49:11Z)
## 2026-08-09 のカード（全36レース / 候補2）

| 場 | R | レース | クラス | 点 | 判定 |
|---|---|---|---|---|---|
| 中京 | 1 | 3歳未勝利 | 未勝利 | -2 | — |
| 中京 | 2 | 2歳新馬 | 新馬 | 0 | 2歳新馬戦（情報不足のため無理に買わない） |
| 中京 | 3 | 2歳新馬 | 新馬 | 0 | 2歳新馬戦（情報不足のため無理に買わない） |
| 中京 | 4 | 3歳未勝利 | 未勝利 | -2 | — |
| 中京 | 5 | 3歳以上1勝クラス | 1勝 | -2 | — |
| 中京 | 6 | 浜名湖特別 | 2勝 | 0 | — |
| 中京 | 7 | CBC賞 | G3 | 3 | 候補 |
| 中京 | 8 | 揖斐川特別 | 2勝 | 0 | — |
| 中京 | 9 | 3歳以上障害未勝利 | 未勝利 | 0 | 障害レース（メソッドが平地競走を前提にしている） |
| 中京 | 10 | 3歳以上1勝クラス | 1勝 | -2 | — |
| 中京 | 11 | 3歳以上1勝クラス | 1勝 | -2 | — |
| 中京 | 12 | 3歳未勝利 | 未勝利 | -2 | — |
| 新潟 | 1 | 2歳未勝利 | 未勝利 | -2 | — |
| 新潟 | 2 | 2歳新馬 | 新馬 | 0 | 2歳新馬戦（情報不足のため無理に買わない） |
| 新潟 | 3 | 3歳未勝利 | 未勝利 | -2 | — |
| 新潟 | 4 | 3歳未勝利 | 未勝利 | -2 | — |
| 新潟 | 5 | 3歳以上1勝クラス | 1勝 | -2 | — |
| 新潟 | 6 | 佐渡S | 3勝 | -1 | — |
| 新潟 | 7 | レパードS | G3 | 3 | 候補 |
| 新潟 | 8 | 驀進特別 | 2勝 | 0 | — |
| 新潟 | 9 | 3歳以上2勝クラス | 2勝 | 0 | — |
| 新潟 | 10 | 3歳以上1勝クラス | 1勝 | -2 | — |
| 新潟 | 11 | 3歳未勝利 | 未勝利 | -2 | — |
| 新潟 | 12 | 3歳未勝利 | 未勝利 | -2 | — |
| 札幌 | 1 | 2歳未勝利 | 未勝利 | -2 | — |
| 札幌 | 2 | 3歳未勝利 | 未勝利 | -2 | — |
| 札幌 | 3 | 3歳以上1勝クラス | 1勝 | -2 | — |
| 札幌 | 4 | 3歳未勝利 | 未勝利 | -2 | — |
| 札幌 | 5 | 2歳新馬 | 新馬 | 0 | 2歳新馬戦（情報不足のため無理に買わない） |
| 札幌 | 6 | 3歳未勝利 | 未勝利 | -2 | — |
| 札幌 | 7 | 3歳未勝利 | 未勝利 | -2 | — |
| 札幌 | 8 | 3歳以上1勝クラス | 1勝 | -2 | — |
| 札幌 | 9 | 3歳以上1勝クラス | 1勝 | -2 | — |
| 札幌 | 10 | 富良野特別 | 2勝 | 0 | — |
| 札幌 | 11 | UHB賞 | OP | 2 | — |
| 札幌 | 12 | 石狩特別 | 1勝 | -2 | — |
